## {'coords': 'spherical', 'metric': 'Euclidean', 'sep_units': 'arcmin', 'bin_type': 'Log'}
#   r_nom       meanr       meanlogr      kappa        sigma        weight       npairs   
  1.3396e-01   1.4732e-01  -1.9269e+00   2.3164e-01   3.8819e-02   9.1313e+02   3.4760e+03
  2.4037e-01   2.5753e-01  -1.3693e+00   8.4155e-02   9.9390e-03   4.0582e+03   1.5435e+04
  4.3133e-01   4.6099e-01  -7.8714e-01   1.8238e-02   5.1170e-03   1.2436e+04   4.7313e+04
  7.7400e-01   8.2709e-01  -2.0241e-01   1.3052e-02   2.3097e-03   3.8760e+04   1.4744e+05
  1.3889e+00   1.4843e+00   3.8283e-01   6.9606e-03   1.8369e-03   1.2361e+05   4.7022e+05
  2.4922e+00   2.6628e+00   9.6768e-01   4.3814e-03   1.0472e-03   3.9332e+05   1.4963e+06
  4.4721e+00   4.7831e+00   1.5536e+00   3.7753e-03   4.5079e-04   1.2488e+06   4.7508e+06
  8.0249e+00   8.5906e+00   2.1392e+00   2.2533e-03   3.4421e-04   3.9882e+06   1.5172e+07
  1.4400e+01   1.5420e+01   2.7241e+00   9.3151e-04   3.4963e-04   1.2706e+07   4.8336e+07
  2.5840e+01   2.7676e+01   3.3089e+00   4.0615e-04   3.7369e-04   4.0403e+07   1.5370e+08
  4.6368e+01   4.9664e+01   3.8935e+00   5.8456e-05   3.7325e-04   1.2814e+08   4.8746e+08
  8.3204e+01   8.9094e+01   4.4778e+00   2.9589e-04   3.4216e-04   4.0393e+08   1.5367e+09
  1.4930e+02   1.5977e+02   5.0618e+00   3.5701e-05   3.4934e-04   1.2543e+09   4.7717e+09
