## {'coords': 'spherical', 'metric': 'Euclidean', 'sep_units': 'arcmin', 'bin_type': 'Log'}
#   r_nom       meanr       meanlogr      kappa        sigma        weight       npairs   
  1.3445e-01   1.4814e-01  -1.9215e+00   1.0671e+00   1.8366e-02   1.0343e+04   1.9594e+04
  2.4303e-01   2.6158e-01  -1.3536e+00   9.3740e-01   2.4264e-02   5.0977e+04   9.6418e+04
  4.3931e-01   4.6922e-01  -7.6950e-01   8.6905e-01   2.3148e-02   1.5946e+05   3.0145e+05
  7.9411e-01   8.4914e-01  -1.7566e-01   8.4400e-01   2.1904e-02   5.0012e+05   9.4534e+05
  1.4355e+00   1.5341e+00   4.1641e-01   8.2982e-01   2.2694e-02   1.6029e+06   3.0298e+06
  2.5948e+00   2.7699e+00   1.0075e+00   8.2740e-01   2.3026e-02   4.9120e+06   9.2849e+06
  4.6904e+00   4.9980e+00   1.5976e+00   8.2785e-01   2.3307e-02   1.4192e+07   2.6826e+07
  8.4785e+00   9.0742e+00   2.1939e+00   8.2865e-01   2.3192e-02   4.0716e+07   7.6964e+07
  1.5326e+01   1.6427e+01   2.7872e+00   8.2935e-01   2.3239e-02   1.2691e+08   2.3990e+08
  2.7704e+01   2.9689e+01   3.3788e+00   8.2926e-01   2.3086e-02   3.9615e+08   7.4882e+08
  5.0078e+01   5.3658e+01   3.9704e+00   8.2958e-01   2.3057e-02   1.2293e+09   2.3238e+09
  9.0523e+01   9.6970e+01   4.5621e+00   8.2991e-01   2.3217e-02   3.8022e+09   7.1872e+09
  1.6363e+02   1.7533e+02   5.1543e+00   8.3208e-01   2.3033e-02   1.1728e+10   2.2169e+10
